order_id,customer_id,order_ts,status,payment_method,total_amount,currency,arq_data_ingest,data_carga,sales_channel
O000028,C00006,2025-12-02T04:47:00.000Z,shipped,credit_card,237.69,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O000043,C00069,2025-12-02T09:08:00.000Z,created,pix,196.52,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000006,C00072,2025-12-02T12:11:00.000Z,shipped,credit_card,0.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000015,C00013,2025-12-02T21:13:00.000Z,cancelled,boleto,11.15,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000021,C00026,2025-12-02T04:54:00.000Z,paid,pix,199.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O2000027,C00054,2025-12-02T21:31:00.000Z,refunded,Não informado,441.41,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000057,C00056,2025-12-02T00:27:00.000Z,delivered,credit_card,189.65,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000058,C00025,2025-12-02T01:05:00.000Z,delivered,pix,181.61,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000085,C00039,2025-12-02T18:50:00.000Z,paid,pix,107.73,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000012,C00093,2025-12-01T11:37:00.000Z,paid,credit_card,240.81,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000017,C00112,2025-12-01T14:28:00.000Z,cancelled,credit_card,394.79,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000025,C00018,2025-12-01T07:40:00.000Z,paid,pix,0.00,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000028,C00099,2025-12-01T15:24:00.000Z,created,credit_card,198.09,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000040,C00074,2025-12-01T21:14:00.000Z,paid,boleto,322.15,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000064,C00107,2025-12-01T08:37:00.000Z,delivered,credit_card,72.20,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000078,C00040,2025-12-01T00:50:00.000Z,paid,debit_card,331.90,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O2000023,C00040,2025-12-02T23:14:00.000Z,paid,credit_card,108.00,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000029,C00090,2025-12-02T08:49:00.000Z,Não informado,pix,153.15,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000056,C00024,2025-12-02T14:50:00.000Z,created,credit_card,31.54,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O2000069,C00118,2025-12-02T10:29:00.000Z,shipped,credit_card,494.53,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000070,C00102,2025-12-02T04:29:00.000Z,shipped,pix,227.51,Não informado,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000013,C00119,2025-12-01T22:19:00.000Z,delivered,pix,951.24,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000044,C00068,2025-12-01T16:55:00.000Z,created,credit_card,228.95,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000045,C00027,2025-12-01T06:13:00.000Z,shipped,debit_card,240.58,USD,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000051,C00095,2025-12-01T14:12:00.000Z,delivered,credit_card,132.60,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000069,C00092,2025-12-01T16:36:00.000Z,paid,credit_card,321.97,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000088,C00016,2025-12-01T02:33:00.000Z,delivered,debit_card,53.36,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000096,C00064,2025-12-01T17:57:00.000Z,paid,boleto,157.54,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000101,C00013,2025-12-01T06:40:00.000Z,Não informado,boleto,190.82,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000098,C00052,2025-12-02T12:34:00.000Z,delivered,credit_card,225.70,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O000049,C00100,2025-12-02T15:02:00.000Z,created,credit_card,234.74,Não informado,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000016,C00099,2025-12-02T19:00:00.000Z,shipped,debit_card,145.85,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000031,C00112,,cancelled,credit_card,138.65,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000037,C00085,2025-12-02T22:01:00.000Z,paid,boleto,255.66,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000044,C00043,2025-12-02T13:56:00.000Z,created,credit_card,430.20,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000074,C00034,2025-12-02T23:04:00.000Z,delivered,credit_card,292.48,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000076,C00090,2025-12-02T02:12:00.000Z,created,boleto,77.26,Não informado,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O2000093,C00109,2025-12-02T21:14:00.000Z,paid,credit_card,145.16,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000001,C00083,,paid,debit_card,48.82,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000005,C00036,2025-12-01T11:07:00.000Z,shipped,Não informado,254.92,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000038,C00016,2025-12-01T13:17:00.000Z,paid,credit_card,0.00,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000042,C00027,2025-12-01T17:08:00.000Z,paid,pix,212.78,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000043,C00118,2025-12-01T19:02:00.000Z,created,credit_card,209.69,Não informado,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000046,C00084,2025-12-01T18:08:00.000Z,paid,boleto,203.30,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000057,C00024,2025-12-01T11:28:00.000Z,paid,boleto,372.29,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000061,C00116,2025-12-01T06:24:00.000Z,paid,boleto,218.96,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
